country,year,V,V_star,R
PER,2018,0.2722963561808076,0.19309951802153513,0.5816959086054383
PER,2019,0.23122243422418282,0.1529936792633347,0.6766536752657923
PER,2020,0.12766201383087708,0.06688884863714939,0.9520947284168368
PER,2021,0.44164455867169544,0.30087442676953446,0.6374815635702422
PER,2022,0.8279417972903937,0.6192216210389002,0.5041904562242716
PHL,2009,0.04451705412947323,0.03749358733911217,0.315540501396792
PHL,2010,0.10676200801699588,0.08917006080562759,0.3295544461578085
PHL,2011,0.04098007995733946,0.03396093862747314,0.34256357416448646
PHL,2012,0.053041391489433966,0.04399369612749504,0.34115603334958744
PHL,2013,0.06632555748853664,0.054957295122095635,0.3428018639241993
PHL,2014,0.07426857943525658,0.062237266617812585,0.3239946935549578
PHL,2015,0.14650660301286136,0.12280747466614321,0.32352300659974575
PHL,2016,0.12000848193917761,0.10130207494043635,0.31175141450788457
PHL,2017,0.1088280104013359,0.09251205787113048,0.2998484024477789
PHL,2018,0.1327333125616501,0.11350176608574962,0.28977723986159243
PHL,2019,0.1691809530720961,0.14387606664191954,0.29914580773632266
PHL,2020,0.20516986426769157,0.16924061730458162,0.35023902843969246
PHL,2021,0.20518429841121574,0.17226498288215875,0.32087558145489714
PHL,2022,0.22102725292656056,0.18864686928708976,0.2929990144720265
PLW,2009,0.4207344071706803,0.3857466948336353,0.16631733340910929
PLW,2010,0.40738808496243006,0.37351023498563257,0.16631733340910929
PLW,2011,0.41332433587707157,0.37895283518898876,0.16631733340910929
PLW,2012,0.4109946982864386,0.37681692715429765,0.16631733340910929
PLW,2013,0.41890854838446206,0.38407267202966977,0.16631733340910929
PLW,2014,0.42187591122226215,0.3867932729302498,0.16631733340910929
PLW,2015,0.42857142857142855,0.39293199998376227,0.16631733340910929
PLW,2016,0.42857142857142855,0.39293199998376227,0.16631733340910929
PLW,2017,0.415088798331337,0.38057056729810723,0.16631733340910929
PLW,2018,0.23695976154992543,0.21725450371680444,0.16631733340910929
PLW,2019,0.23695976154992543,0.21725450371680444,0.16631733340910929
PLW,2020,0.23695976154992543,0.21725450371680444,0.16631733340910929
PLW,2021,0.23695976154992543,0.21725450371680444,0.16631733340910929
PLW,2022,0.23695976154992543,0.21725450371680444,0.16631733340910929
PNG,2009,0.7773906886888633,0.6643604823303569,0.2907938260725545
PNG,2010,0.2203999914704365,0.19107056669375178,0.2661472405784448
PNG,2011,0.2968610815298771,0.24676447492729403,0.33750875220429444
PNG,2012,0.13367293512279355,0.11656752526783477,0.25592929248161644
PNG,2013,0.08642098927513607,0.07971991336399231,0.1550798241804367
